Employment_Type,Education_Level,Job_Stability_Years,Family_Dependents,Monthly_Income,District,House_Ownership_Status,Vehicle_Ownership,Active_Bank_Accounts,Average_Monthly_Expenses,Existing_EMI_Burden,Emergency_Savings_Availability,Utility_Bill_Payment_Regularity,score_income,score_employment,score_education,score_job_stability,score_dependents,score_district,score_credit,score_sentiment,Repayment_Score,repayment_score_out_of_500,repayment_score_percent
Farmer,10th,17.53,3,71076,Medchal,Rent,Car,4,4248,22269,No,Sometimes Late,71.08,70.0,65.0,87.65,50.0,80.0,68.67,60.0,69.05,345.25,69.05
Gig Worker,Graduate,6.96,0,48540,Mahbubnagar,Rent,Car,1,12662,2529,Yes,Regularly Late,48.54,75.0,85.0,34.8,100.0,80.0,94.79,60.0,72.27,361.33,72.27
Trader,10th,2.72,1,51651,Khammam,Family,None,1,30553,12244,No,Sometimes Late,51.65,85.0,65.0,13.6,83.33,80.0,76.3,60.0,64.36,321.8,64.36
Government,Postgraduate,4.81,3,116394,Kamareddy,Family,Car,4,14977,36546,Yes,Regularly Late,100.0,100.0,100.0,24.05,50.0,80.0,68.6,60.0,72.83,364.16,72.83
Gig Worker,Postgraduate,0.77,2,118104,Siddipet,Own,2W,3,38151,19564,Yes,Always On Time,100.0,75.0,100.0,3.85,66.67,80.0,83.44,90.0,74.87,374.34,74.87
Labour,Graduate,19.76,4,86925,Khammam,Own,2W,1,29550,21456,Yes,Sometimes Late,86.92,60.0,85.0,98.8,33.33,80.0,75.32,60.0,72.42,362.11,72.42
Trader,Graduate,10.02,0,86652,Kamareddy,Rent,Car,1,49477,27854,Yes,Regularly Late,86.65,85.0,85.0,50.1,100.0,80.0,67.86,60.0,76.83,384.13,76.83
Trader,Graduate,6.35,2,27384,Khammam,Own,Car,2,10480,12523,Yes,Always On Time,27.38,85.0,85.0,31.75,66.67,80.0,54.27,90.0,65.01,325.04,65.01
Trader,10th,0.33,2,91470,Siddipet,Family,None,4,8710,6024,Yes,Regularly Late,91.47,85.0,65.0,1.65,66.67,80.0,93.41,60.0,67.9,339.5,67.9
Gig Worker,10th,12.55,0,8777,Mancherial,Rent,None,4,3702,1447,Yes,Regularly Late,8.78,75.0,65.0,62.75,100.0,80.0,83.52,60.0,66.88,334.4,66.88
Trader,12th,9.68,3,35224,Hyderabad,Own,None,3,4015,14608,Yes,Always On Time,35.22,85.0,75.0,48.4,50.0,80.0,58.53,90.0,65.27,326.35,65.27
Gig Worker,Graduate,9.43,4,116852,Nizamabad,Rent,Car,4,17308,23512,No,Sometimes Late,100.0,75.0,85.0,47.15,33.33,80.0,79.88,60.0,70.05,350.23,70.05
Trader,Graduate,3.94,3,83804,Nalgonda,Own,2W,1,21178,5480,No,Sometimes Late,83.8,85.0,85.0,19.7,50.0,80.0,93.46,60.0,69.62,348.1,69.62
Labour,Postgraduate,12.97,0,90605,Warangal,Rent,None,1,25148,8811,Yes,Always On Time,90.6,60.0,100.0,64.85,100.0,80.0,90.28,90.0,84.47,422.33,84.47
Labour,10th,5.72,3,23715,Jagtial,Family,Car,1,10289,1797,Yes,Sometimes Late,23.72,60.0,65.0,28.6,50.0,80.0,92.42,60.0,57.47,287.34,57.47
Gig Worker,10th,12.2,0,37451,Medchal,Family,None,4,17188,3866,Yes,Sometimes Late,37.45,75.0,65.0,61.0,100.0,80.0,89.68,60.0,71.02,355.08,71.02
Farmer,Graduate,3.9,5,83176,Rangareddy,Rent,2W,3,17693,29361,No,Sometimes Late,83.18,70.0,85.0,19.5,16.67,80.0,64.7,60.0,59.88,299.4,59.88
Labour,Postgraduate,15.27,3,55411,Medchal,Family,Car,2,6274,7237,Yes,Sometimes Late,55.41,60.0,100.0,76.35,50.0,80.0,86.94,60.0,71.09,355.44,71.09
Gig Worker,Graduate,0.58,0,19155,Medak,Own,2W,1,5212,2220,Yes,Always On Time,19.16,75.0,85.0,2.9,100.0,80.0,88.41,90.0,67.56,337.79,67.56
Government,10th,11.43,3,80204,Hyderabad,Own,Car,2,25299,10056,Yes,Regularly Late,80.2,100.0,65.0,57.15,50.0,80.0,87.46,60.0,72.48,362.39,72.48
Government,Graduate,15.83,3,47948,Adilabad,Own,None,2,14046,12559,Yes,Regularly Late,47.95,100.0,85.0,79.15,50.0,80.0,73.81,60.0,71.99,359.94,71.99
Gig Worker,12th,0.34,1,110583,Bhadradri Kothagudem,Family,2W,3,38478,36108,No,Always On Time,100.0,75.0,75.0,1.7,83.33,80.0,67.35,60.0,67.8,338.99,67.8
Trader,Graduate,8.71,5,110550,Khammam,Family,Car,3,3088,40067,Yes,Regularly Late,100.0,85.0,85.0,43.55,16.67,80.0,63.76,60.0,66.75,333.73,66.75
Farmer,12th,13.2,1,60820,Adilabad,Rent,2W,4,27398,2711,Yes,Sometimes Late,60.82,70.0,75.0,66.0,83.33,80.0,95.54,60.0,73.84,369.18,73.84
Gig Worker,Postgraduate,15.42,2,22932,Rangareddy,Family,2W,2,5132,11346,No,Sometimes Late,22.93,75.0,100.0,77.1,66.67,80.0,50.53,60.0,66.53,332.64,66.53
Gig Worker,10th,6.58,4,23207,Siddipet,Own,2W,3,5890,9821,Yes,Regularly Late,23.21,75.0,65.0,32.9,33.33,80.0,57.68,60.0,53.39,266.95,53.39
Farmer,Graduate,15.54,2,45330,Hyderabad,Rent,2W,4,16653,16303,No,Regularly Late,45.33,70.0,85.0,77.7,66.67,80.0,64.04,60.0,68.59,342.96,68.59
Farmer,10th,2.89,5,82641,Nizamabad,Family,Car,3,34693,41254,No,Regularly Late,82.64,70.0,65.0,14.45,16.67,80.0,50.08,60.0,54.85,274.27,54.85
Farmer,Postgraduate,14.03,4,45970,Nizamabad,Rent,2W,1,11068,7420,Yes,Always On Time,45.97,70.0,100.0,70.15,33.33,80.0,83.86,90.0,71.66,358.32,71.66
Labour,Postgraduate,18.81,4,88873,Siddipet,Family,None,3,43663,2598,No,Regularly Late,88.87,60.0,100.0,94.05,33.33,80.0,97.08,60.0,76.67,383.33,76.67
Gig Worker,Postgraduate,19.26,0,93428,Mancherial,Family,Car,4,44908,2930,No,Regularly Late,93.43,75.0,100.0,96.3,100.0,80.0,96.86,60.0,87.7,438.49,87.7
Government,Postgraduate,8.52,3,116832,Bhadradri Kothagudem,Family,None,1,6113,49667,No,Sometimes Late,100.0,100.0,100.0,42.6,50.0,80.0,57.49,60.0,73.76,368.81,73.76
Gig Worker,12th,9.73,0,41029,Khammam,Own,None,4,4016,15537,No,Regularly Late,41.03,75.0,75.0,48.65,100.0,80.0,62.13,60.0,67.73,338.63,67.73
Government,10th,4.74,2,87053,Warangal,Own,None,3,22325,843,Yes,Always On Time,87.05,100.0,65.0,23.7,66.67,80.0,99.03,90.0,76.43,382.16,76.43
Trader,10th,0.02,2,81811,Karimnagar,Rent,Car,1,31057,11046,Yes,Always On Time,81.81,85.0,65.0,0.1,66.67,80.0,86.5,90.0,69.38,346.92,69.38
Government,10th,11.77,5,30898,Mahabubabad,Rent,2W,2,15651,3892,Yes,Sometimes Late,30.9,100.0,65.0,58.85,16.67,80.0,87.4,60.0,62.35,311.76,62.35
Government,12th,6.47,5,19792,Karimnagar,Rent,2W,1,7514,313,Yes,Sometimes Late,19.79,100.0,75.0,32.35,16.67,80.0,98.42,60.0,60.28,301.39,60.28
Trader,12th,16.62,1,86458,Kamareddy,Family,None,2,24855,25160,Yes,Regularly Late,86.46,85.0,75.0,83.1,83.33,80.0,70.9,60.0,77.97,389.87,77.97
Government,12th,1.16,1,67297,Mancherial,Family,Car,1,36353,24079,No,Sometimes Late,67.3,100.0,75.0,5.8,83.33,80.0,64.22,60.0,66.96,334.78,66.96
Gig Worker,Postgraduate,12.51,1,49821,Siddipet,Family,Car,1,10289,1202,No,Sometimes Late,49.82,75.0,100.0,62.55,83.33,80.0,97.59,60.0,76.04,380.18,76.04
Government,10th,2.26,4,69217,Mancherial,Family,None,1,27087,21364,No,Sometimes Late,69.22,100.0,65.0,11.3,33.33,80.0,69.14,60.0,61.0,304.99,61.0
Farmer,12th,3.95,4,100019,Kamareddy,Family,2W,3,36626,30510,Yes,Sometimes Late,100.0,70.0,75.0,19.75,33.33,80.0,69.5,60.0,63.45,317.24,63.45
Trader,Postgraduate,2.91,3,76983,Medak,Own,2W,3,23627,2452,No,Sometimes Late,76.98,85.0,100.0,14.55,50.0,80.0,96.81,60.0,70.42,352.09,70.42
Farmer,10th,13.82,2,30580,Nizamabad,Own,None,4,7513,13931,No,Regularly Late,30.58,70.0,65.0,69.1,66.67,80.0,54.45,60.0,61.97,309.87,61.97
Labour,Postgraduate,6.02,0,91485,Adilabad,Family,2W,1,9714,19929,Yes,Always On Time,91.48,60.0,100.0,30.1,100.0,80.0,78.22,90.0,78.73,393.63,78.73
