employment_type,education_level,job_stability_years,family_dependents,monthly_income,district,house_ownership_status,vehicle_ownership,active_bank_accounts,average_monthly_expenses,existing_emi_burden,emergency_savings_availability,utility_bill_payment_regularity,repayment_percent,final_score
Unemployed,10th,13.59,2,105560,Karimnagar,Own,None,3,33899,22397,No,Sometimes Late,83.72,431.6
Gig Worker,12th,2.36,5,90583,Medak,Rent,2W,4,43170,38629,Yes,Sometimes Late,52.16,263.8
Gig Worker,Graduate,17.08,1,35582,Nizamabad,Rent,None,3,59626,28279,No,Sometimes Late,60.08,289.4
Farmer,Postgraduate,2.67,4,13569,Bhadradri Kothagudem,Rent,2W,4,31259,41069,Yes,Always On Time,17.46,104.3
Farmer,Primary,14.97,2,76125,Kamareddy,Family,2W,2,35087,11656,No,Sometimes Late,73.85,351.25
Farmer,10th,4.97,5,77296,Mancherial,Rent,2W,2,4244,12558,Yes,Always On Time,49.44,242.2
Government,Graduate,3.89,2,69288,Nizamabad,Rent,None,1,22401,2493,Yes,Sometimes Late,53.81,282.05
Trader,Postgraduate,2.8,4,56989,Siddipet,Rent,2W,3,45928,29734,Yes,Sometimes Late,39.36,189.8
Labour,12th,4.97,0,69039,Medak,Rent,2W,4,15907,15989,No,Always On Time,61.97,306.85
Trader,12th,1.88,1,71135,Mahabubabad,Family,2W,3,17907,11859,No,Regularly Late,55.05,260.25
Gig Worker,Primary,8.78,5,83230,Medchal,Own,None,1,4455,21158,No,Always On Time,58.12,275.6
Labour,Postgraduate,6.87,4,75966,Hyderabad,Own,Car,4,54915,29602,Yes,Regularly Late,54.95,272.75
Unemployed,Primary,10.28,2,61781,Rangareddy,Rent,None,2,29979,5665,No,Sometimes Late,59.64,308.2
Trader,10th,1.74,5,51310,Warangal,Own,Car,3,54854,33195,Yes,Regularly Late,31.6,172.0
Trader,Graduate,15.69,2,72338,Mahabubabad,Family,2W,2,4106,35681,No,Sometimes Late,73.04,363.2
Farmer,10th,6.71,2,84852,Karimnagar,Rent,2W,4,19800,29745,Yes,Rarely Paid,65.82,306.1
Unemployed,Primary,7.12,3,80374,Jagtial,Rent,2W,2,40413,47401,Yes,Regularly Late,60.87,300.35
Government,10th,6.36,3,98720,Nizamabad,Own,2W,4,47539,5482,Yes,Rarely Paid,68.9,320.5
Unemployed,Primary,6.66,0,93667,Khammam,Own,Car,2,24241,41414,Yes,Sometimes Late,76.82,382.1
Government,Primary,13.84,5,106492,Hyderabad,Family,2W,2,38821,39753,No,Rarely Paid,74.09,388.45
Farmer,10th,16.61,2,11058,Siddipet,Family,Car,3,26386,19482,No,Rarely Paid,43.78,222.9
Labour,Graduate,13.11,3,115744,Nizamabad,Own,2W,2,44828,39814,Yes,Always On Time,79.66,410.3
Trader,12th,3.5,3,47308,Karimnagar,Own,Car,1,30271,19125,Yes,Always On Time,38.9,170.5
Government,Postgraduate,8.54,1,114813,Hyderabad,Family,Car,1,35542,40438,Yes,Always On Time,79.48,392.4
Gig Worker,Graduate,2.59,0,83274,Karimnagar,Own,Car,4,29947,24567,No,Regularly Late,65.52,334.6
Unemployed,Graduate,15.35,3,97349,Bhadradri Kothagudem,Family,None,4,42920,39302,No,Rarely Paid,81.7,394.5
