employment_type,education_level,job_stability_years,family_dependents,monthly_income,district,house_ownership_status,vehicle_ownership,active_bank_accounts,average_monthly_expenses,existing_emi_burden,emergency_savings_availability,utility_bill_payment_regularity,repayment_percent,final_score
Labour,10th,19.8,4,37825,Siddipet,Family,2W,4,46259,9041,Yes,Sometimes Late,55.28,276.4
Student,Graduate,7.3,1,62613,Medchal,Family,2W,4,44722,41892,Yes,Regularly Late,58.92,294.6
Unemployed,Postgraduate,16.3,4,21203,Adilabad,Family,None,2,23638,27479,Yes,Rarely Paid,41.72,208.6
Government,Graduate,8.3,1,64444,Jagtial,Own,2W,1,44203,43311,Yes,Sometimes Late,61.34,306.7
Unemployed,10th,16.0,3,33625,Warangal,Rent,2W,4,41369,47574,Yes,Rarely Paid,50.81,254.05
Other,10th,15.5,3,96152,Karimnagar,Rent,Car,4,54953,31205,Yes,Rarely Paid,81.33,406.65
Private,Postgraduate,5.4,3,75298,Kamareddy,Rent,2W,4,41604,48220,Yes,Sometimes Late,55.75,278.75
Labour,Primary,1.2,5,49440,Karimnagar,Own,2W,2,13521,42898,No,Sometimes Late,29.85,149.25
Unemployed,10th,5.6,4,91018,Medchal,Family,2W,1,55040,20181,Yes,Regularly Late,60.58,302.9
Student,Graduate,9.7,0,61444,Rangareddy,Family,None,2,44629,30634,No,Sometimes Late,65.27,326.35
Farmer,Primary,2.0,2,20423,Warangal,Own,2W,3,58924,16897,No,Regularly Late,26.54,132.7
Other,Graduate,14.7,0,96478,Jagtial,Rent,None,3,46800,25540,No,Rarely Paid,90.29,451.45
Student,10th,11.3,4,37083,Medchal,Family,2W,2,36532,21592,Yes,Always On Time,42.16,210.8
Unemployed,Postgraduate,8.1,1,11843,Hyderabad,Own,None,2,13810,11693,No,Rarely Paid,34.74,173.7
Gig Worker,10th,13.4,5,26211,Siddipet,Rent,None,4,32844,44816,Yes,Rarely Paid,36.54,182.7
Student,12th,0.1,0,19682,Rangareddy,Rent,None,2,41481,30723,No,Sometimes Late,29.99,149.95
Unemployed,12th,5.6,3,73067,Jagtial,Family,2W,1,41547,26265,No,Regularly Late,54.93,274.65
Government,12th,18.8,2,83135,Bhadradri Kothagudem,Rent,Car,2,35962,30636,No,Regularly Late,83.1,415.5
Farmer,12th,6.1,5,86589,Jagtial,Family,2W,4,39471,10499,Yes,Sometimes Late,55.78,278.9
Trader,Graduate,11.2,3,45766,Mancherial,Family,None,4,42432,19412,No,Rarely Paid,49.68,248.4
Self-Employed,Graduate,7.1,0,42201,Karimnagar,Rent,None,3,39479,9250,Yes,Regularly Late,51.75,258.75
Farmer,10th,16.1,5,16180,Medak,Rent,2W,4,45036,18609,No,Sometimes Late,35.57,177.85
Government,Graduate,17.9,4,25210,Rangareddy,Family,None,3,49099,10219,No,Rarely Paid,46.12,230.6
Student,Postgraduate,10.4,2,110231,Warangal,Family,2W,1,49892,4750,Yes,Regularly Late,78.93,394.65
Farmer,10th,18.2,4,60954,Khammam,Family,2W,4,33878,15576,No,Always On Time,64.44,322.2
Government,10th,8.8,4,18360,Medchal,Rent,2W,4,29240,45856,Yes,Sometimes Late,29.05,145.25
Private,10th,11.1,0,113043,Warangal,Rent,2W,4,51055,16201,No,Always On Time,86.65,433.25
Gig Worker,Graduate,8.6,5,21639,Warangal,Family,Car,4,42943,19534,Yes,Regularly Late,27.05,135.25
Farmer,Primary,3.6,1,69739,Kamareddy,Family,Car,2,55441,27185,Yes,Rarely Paid,56.94,284.7
Unemployed,Primary,14.7,4,27830,Hyderabad,Family,None,1,58276,40431,Yes,Sometimes Late,42.63,213.15
Trader,Postgraduate,7.7,0,94143,Siddipet,Family,Car,2,29263,7757,No,Rarely Paid,78.62,393.1
Unemployed,10th,12.4,4,88147,Nalgonda,Rent,None,2,50604,10580,No,Always On Time,69.34,346.7
Farmer,12th,10.9,1,60133,Jagtial,Family,2W,4,8475,2946,No,Regularly Late,63.08,315.4
Self-Employed,Graduate,9.2,1,32252,Kamareddy,Family,None,3,23329,40484,No,Sometimes Late,46.59,232.95
Farmer,Graduate,3.3,1,104779,Medchal,Rent,2W,2,39301,43301,No,Rarely Paid,71.62,358.1
Labour,Postgraduate,11.4,5,62919,Medak,Family,2W,3,31301,48859,Yes,Always On Time,51.89,259.45
Labour,Graduate,13.3,3,77464,Rangareddy,Rent,Car,1,11946,43929,Yes,Regularly Late,68.68,343.4
Government,Primary,11.3,4,102994,Siddipet,Own,None,1,56054,35199,No,Rarely Paid,73.62,368.1
Farmer,Primary,13.2,0,119519,Rangareddy,Own,2W,2,34015,36032,No,Sometimes Late,89.8,449.0
Labour,10th,14.9,0,109939,Kamareddy,Own,2W,3,55228,32967,Yes,Sometimes Late,92.35,461.75
Trader,Postgraduate,9.5,2,75565,Nizamabad,Rent,Car,4,57823,40880,Yes,Regularly Late,65.37,326.85
Student,Postgraduate,1.4,2,26860,Medak,Family,Car,2,54411,24071,Yes,Rarely Paid,28.86,144.3
Gig Worker,Primary,5.4,3,50506,Rangareddy,Family,2W,2,35994,39190,No,Sometimes Late,43.35,216.75
Trader,10th,11.3,2,54181,Mancherial,Rent,Car,1,22328,40787,Yes,Always On Time,57.37,286.85
Farmer,12th,3.8,5,12623,Mahabubabad,Family,Car,2,52204,6465,Yes,Sometimes Late,15.34,76.7
Private,Postgraduate,4.9,1,20131,Medchal,Own,None,2,3811,20532,Yes,Regularly Late,34.08,170.4
